Sample Area  	Current Limit  	Bias Dir.        	Num Swp Pts	GPIB Addr      	Irrad. (suns)   	Max Rev. Bias	Ref. Temp      	Cell T (start)    	Cell T (end)   	Exposure (sec)	Date	Time
      0.5000	   1000.0000	      0.0000	     60.0000	     24.0000	      1.0000	      0.1000	     22.3460	     19.7643	     19.7643	      6.9010	5.17.2018	11.36.48 AM
   												
Voc (V)       	Isc (A)       	Jsc (mA/cm2)	Imax (A)      	Vmax (V)      	Pmax (mW)  	Fill Factor (%)	Efficiency (%)	R at Voc       	R at Isc       			
  0.741696	  0.014530	 29.060918	  0.012520	  0.590902	  7.397930	 68.644335	 14.795860	  4.877489	3163.850655			
   												
Vmeas       	Imeas       											
  0.757150	 -0.003674											
  0.742650	 -0.000029											
  0.728100	  0.002949											
  0.713600	  0.005282											
  0.699050	  0.007113											
  0.684500	  0.008506											
  0.670000	  0.009583											
  0.655450	  0.010417											
  0.640950	  0.011095											
  0.626400	  0.011612											
  0.611900	  0.012033											
  0.597350	  0.012384											
  0.582800	  0.012685											
  0.568300	  0.012952											
  0.553750	  0.013176											
  0.539250	  0.013356											
  0.524700	  0.013529											
  0.510200	  0.013662											
  0.495650	  0.013766											
  0.481150	  0.013869											
  0.466600	  0.013963											
  0.452050	  0.014030											
  0.437550	  0.014080											
  0.423000	  0.014131											
  0.408500	  0.014188											
  0.393950	  0.014243											
  0.379450	  0.014277											
  0.364900	  0.014306											
  0.350350	  0.014320											
  0.335850	  0.014346											
  0.321300	  0.014377											
  0.306800	  0.014392											
  0.292250	  0.014405											
  0.277750	  0.014433											
  0.263200	  0.014436											
  0.248700	  0.014448											
  0.234150	  0.014450											
  0.219600	  0.014464											
  0.205100	  0.014460											
  0.190550	  0.014458											
  0.176050	  0.014456											
  0.161500	  0.014460											
  0.147000	  0.014483											
  0.132450	  0.014506											
  0.117900	  0.014516											
  0.103400	  0.014495											
  0.088850	  0.014502											
  0.074350	  0.014508											
  0.059800	  0.014519											
  0.045300	  0.014521											
  0.030750	  0.014534											
  0.016200	  0.014551											
  0.001700	  0.014539											
 -0.012850	  0.014535											
 -0.027350	  0.014538											
 -0.041900	  0.014544											
 -0.056400	  0.014541											
 -0.070950	  0.014544											
 -0.085450	  0.014540											
 -0.100000	  0.014553											
