Sample Area  	Current Limit  	Bias Dir.        	Num Swp Pts	GPIB Addr      	Irrad. (suns)   	Max Rev. Bias	Ref. Temp      	Cell T (start)    	Cell T (end)   	Exposure (sec)	Date	Time
      0.5000	   1000.0000	      0.0000	     60.0000	     24.0000	      1.0000	      0.1000	     22.3460	     19.7643	     19.7643	      6.8990	5.17.2018	11.39.53 AM
   												
Voc (V)       	Isc (A)       	Jsc (mA/cm2)	Imax (A)      	Vmax (V)      	Pmax (mW)  	Fill Factor (%)	Efficiency (%)	R at Voc       	R at Isc       			
  0.739934	  0.014699	 29.397565	  0.012540	  0.592782	  7.433556	 68.347481	 14.867113	  4.898010	2861.601193			
   												
Vmeas       	Imeas       											
  0.755150	 -0.003584											
  0.740700	  0.000004											
  0.726200	  0.002951											
  0.711700	  0.005311											
  0.697200	  0.007170											
  0.682700	  0.008610											
  0.668200	  0.009709											
  0.653700	  0.010575											
  0.639200	  0.011232											
  0.624700	  0.011737											
  0.610250	  0.012150											
  0.595750	  0.012499											
  0.581250	  0.012767											
  0.566750	  0.013010											
  0.552250	  0.013239											
  0.537750	  0.013417											
  0.523250	  0.013558											
  0.508750	  0.013683											
  0.494250	  0.013781											
  0.479800	  0.013902											
  0.465300	  0.014012											
  0.450800	  0.014086											
  0.436300	  0.014142											
  0.421800	  0.014204											
  0.407300	  0.014266											
  0.392800	  0.014316											
  0.378300	  0.014370											
  0.363800	  0.014412											
  0.349350	  0.014439											
  0.334850	  0.014449											
  0.320350	  0.014469											
  0.305850	  0.014491											
  0.291350	  0.014520											
  0.276850	  0.014524											
  0.262350	  0.014537											
  0.247850	  0.014571											
  0.233350	  0.014588											
  0.218900	  0.014608											
  0.204400	  0.014614											
  0.189900	  0.014627											
  0.175400	  0.014637											
  0.160900	  0.014641											
  0.146400	  0.014644											
  0.131900	  0.014649											
  0.117400	  0.014666											
  0.102900	  0.014676											
  0.088450	  0.014665											
  0.073950	  0.014678											
  0.059450	  0.014694											
  0.044950	  0.014700											
  0.030450	  0.014693											
  0.015950	  0.014707											
  0.001450	  0.014699											
 -0.013050	  0.014704											
 -0.027550	  0.014715											
 -0.042000	  0.014710											
 -0.056500	  0.014722											
 -0.071000	  0.014721											
 -0.085500	  0.014714											
 -0.100000	  0.014710											
