Sample Area  	Current Limit  	Bias Dir.        	Num Swp Pts	GPIB Addr      	Irrad. (suns)   	Max Rev. Bias	Ref. Temp      	Cell T (start)    	Cell T (end)   	Exposure (sec)	Date	Time
      0.5000	   1000.0000	      0.0000	     60.0000	     24.0000	      1.0000	      0.1000	     22.3460	     19.7643	     19.7643	      6.7990	5.17.2018	11.41.08 AM
   												
Voc (V)       	Isc (A)       	Jsc (mA/cm2)	Imax (A)      	Vmax (V)      	Pmax (mW)  	Fill Factor (%)	Efficiency (%)	R at Voc       	R at Isc       			
  0.739060	  0.014800	 29.599349	  0.012465	  0.590401	  7.359257	 67.282456	 14.718513	  4.871329	2170.340289			
   												
Vmeas       	Imeas       											
  0.754350	 -0.003627											
  0.739850	  0.000002											
  0.725350	  0.002975											
  0.710900	  0.005306											
  0.696400	  0.007130											
  0.681950	  0.008536											
  0.667450	  0.009621											
  0.652950	  0.010443											
  0.638500	  0.011094											
  0.624000	  0.011604											
  0.609550	  0.012037											
  0.595050	  0.012382											
  0.580550	  0.012666											
  0.566100	  0.012907											
  0.551600	  0.013141											
  0.537150	  0.013334											
  0.522650	  0.013509											
  0.508150	  0.013654											
  0.493700	  0.013765											
  0.479200	  0.013895											
  0.464750	  0.014012											
  0.450250	  0.014102											
  0.435750	  0.014184											
  0.421300	  0.014252											
  0.406800	  0.014288											
  0.392350	  0.014348											
  0.377850	  0.014407											
  0.363350	  0.014450											
  0.348900	  0.014480											
  0.334400	  0.014498											
  0.319900	  0.014524											
  0.305450	  0.014541											
  0.290950	  0.014595											
  0.276500	  0.014621											
  0.262000	  0.014634											
  0.247500	  0.014653											
  0.233050	  0.014675											
  0.218550	  0.014681											
  0.204100	  0.014696											
  0.189600	  0.014711											
  0.175100	  0.014714											
  0.160650	  0.014721											
  0.146150	  0.014726											
  0.131700	  0.014729											
  0.117200	  0.014746											
  0.102700	  0.014772											
  0.088250	  0.014768											
  0.073750	  0.014765											
  0.059300	  0.014777											
  0.044800	  0.014800											
  0.030300	  0.014804											
  0.015850	  0.014813											
  0.001350	  0.014824											
 -0.013100	  0.014813											
 -0.027600	  0.014814											
 -0.042100	  0.014801											
 -0.056550	  0.014807											
 -0.071050	  0.014823											
 -0.085500	  0.014835											
 -0.100000	  0.014823											
