Sample Area  	Current Limit  	Bias Dir.        	Num Swp Pts	GPIB Addr      	Irrad. (suns)   	Max Rev. Bias	Ref. Temp      	Cell T (start)    	Cell T (end)   	Exposure (sec)	Date	Time
      0.5000	   1000.0000	      0.0000	     60.0000	     24.0000	      1.0000	      0.1000	     22.3460	     19.7643	     19.7643	      6.8000	5.17.2018	11.38.03 AM
   												
Voc (V)       	Isc (A)       	Jsc (mA/cm2)	Imax (A)      	Vmax (V)      	Pmax (mW)  	Fill Factor (%)	Efficiency (%)	R at Voc       	R at Isc       			
  0.744326	  0.014657	 29.314115	  0.012656	  0.597454	  7.561399	 69.309432	 15.122797	  4.854720	3199.115470			
   												
Vmeas       	Imeas       											
  0.759650	 -0.003643											
  0.745100	  0.000000											
  0.730500	  0.003004											
  0.715950	  0.005383											
  0.701350	  0.007282											
  0.686800	  0.008723											
  0.672250	  0.009826											
  0.657650	  0.010705											
  0.643100	  0.011357											
  0.628500	  0.011867											
  0.613950	  0.012268											
  0.599400	  0.012615											
  0.584800	  0.012920											
  0.570250	  0.013159											
  0.555650	  0.013360											
  0.541100	  0.013522											
  0.526500	  0.013667											
  0.511950	  0.013791											
  0.497400	  0.013889											
  0.482800	  0.013990											
  0.468250	  0.014070											
  0.453650	  0.014127											
  0.439100	  0.014176											
  0.424550	  0.014232											
  0.409950	  0.014292											
  0.395400	  0.014345											
  0.380800	  0.014384											
  0.366250	  0.014410											
  0.351700	  0.014445											
  0.337100	  0.014465											
  0.322550	  0.014481											
  0.307950	  0.014500											
  0.293400	  0.014517											
  0.278850	  0.014519											
  0.264250	  0.014538											
  0.249700	  0.014548											
  0.235100	  0.014569											
  0.220550	  0.014584											
  0.206000	  0.014596											
  0.191400	  0.014584											
  0.176850	  0.014593											
  0.162250	  0.014603											
  0.147700	  0.014612											
  0.133150	  0.014618											
  0.118550	  0.014624											
  0.104000	  0.014635											
  0.089400	  0.014636											
  0.074850	  0.014643											
  0.060250	  0.014632											
  0.045700	  0.014637											
  0.031150	  0.014652											
  0.016550	  0.014660											
  0.002000	  0.014660											
 -0.012600	  0.014662											
 -0.027150	  0.014665											
 -0.041700	  0.014679											
 -0.056300	  0.014683											
 -0.070850	  0.014674											
 -0.085450	  0.014673											
 -0.100000	  0.014674											
