Sample Area  	Current Limit  	Bias Dir.        	Num Swp Pts	GPIB Addr      	Irrad. (suns)   	Max Rev. Bias	Ref. Temp      	Cell T (start)    	Cell T (end)   	Exposure (sec)	Date	Time
      0.5000	   1000.0000	      0.0000	     60.0000	     24.0000	      1.0000	      0.1000	     22.3460	     19.7643	     19.7643	      6.7990	5.17.2018	11.39.22 AM
   												
Voc (V)       	Isc (A)       	Jsc (mA/cm2)	Imax (A)      	Vmax (V)      	Pmax (mW)  	Fill Factor (%)	Efficiency (%)	R at Voc       	R at Isc       			
  0.742161	  0.014710	 29.419802	  0.012611	  0.596014	  7.516187	 68.847772	 15.032374	  4.828643	3096.126564			
   												
Vmeas       	Imeas       											
  0.757500	 -0.003668											
  0.742950	  0.000005											
  0.728400	  0.003004											
  0.713900	  0.005386											
  0.699350	  0.007264											
  0.684800	  0.008710											
  0.670300	  0.009811											
  0.655750	  0.010678											
  0.641200	  0.011333											
  0.626700	  0.011836											
  0.612150	  0.012251											
  0.597600	  0.012593											
  0.583100	  0.012872											
  0.568550	  0.013101											
  0.554000	  0.013323											
  0.539500	  0.013503											
  0.524950	  0.013650											
  0.510400	  0.013776											
  0.495900	  0.013881											
  0.481350	  0.013993											
  0.466800	  0.014087											
  0.452250	  0.014157											
  0.437750	  0.014218											
  0.423200	  0.014276											
  0.408650	  0.014325											
  0.394150	  0.014373											
  0.379600	  0.014418											
  0.365050	  0.014444											
  0.350550	  0.014450											
  0.336000	  0.014505											
  0.321450	  0.014532											
  0.306950	  0.014552											
  0.292400	  0.014575											
  0.277850	  0.014582											
  0.263350	  0.014582											
  0.248800	  0.014583											
  0.234250	  0.014616											
  0.219750	  0.014633											
  0.205200	  0.014629											
  0.190650	  0.014638											
  0.176150	  0.014669											
  0.161600	  0.014661											
  0.147050	  0.014658											
  0.132550	  0.014674											
  0.118000	  0.014679											
  0.103450	  0.014679											
  0.088950	  0.014681											
  0.074400	  0.014668											
  0.059850	  0.014690											
  0.045350	  0.014710											
  0.030800	  0.014719											
  0.016250	  0.014712											
  0.001750	  0.014707											
 -0.012800	  0.014710											
 -0.027350	  0.014709											
 -0.041850	  0.014723											
 -0.056400	  0.014739											
 -0.070950	  0.014735											
 -0.085450	  0.014735											
 -0.100000	  0.014725											
