Sample Area  	Current Limit  	Bias Dir.        	Num Swp Pts	GPIB Addr      	Irrad. (suns)   	Max Rev. Bias	Ref. Temp      	Cell T (start)    	Cell T (end)   	Exposure (sec)	Date	Time
      0.5000	   1000.0000	      0.0000	     60.0000	     24.0000	      1.0000	      0.1000	     22.3460	     19.7643	     19.7643	      6.8000	5.18.2018	11.44.26 AM
   												
Voc (V)       	Isc (A)       	Jsc (mA/cm2)	Imax (A)      	Vmax (V)      	Pmax (mW)  	Fill Factor (%)	Efficiency (%)	R at Voc       	R at Isc       			
  0.718117	  0.015572	 31.143984	  0.013250	  0.548910	  7.272807	 65.037362	 14.545615	  5.204509	2547.852103			
   												
Vmeas       	Imeas       											
  0.733000	 -0.003264											
  0.718850	  0.000002											
  0.704750	  0.002697											
  0.690650	  0.004877											
  0.676500	  0.006621											
  0.662400	  0.008020											
  0.648300	  0.009135											
  0.634150	  0.010053											
  0.620050	  0.010798											
  0.605900	  0.011437											
  0.591800	  0.011987											
  0.577700	  0.012464											
  0.563550	  0.012875											
  0.549450	  0.013237											
  0.535350	  0.013556											
  0.521200	  0.013840											
  0.507100	  0.014080											
  0.493000	  0.014289											
  0.478850	  0.014471											
  0.464750	  0.014627											
  0.450600	  0.014749											
  0.436500	  0.014865											
  0.422400	  0.014964											
  0.408250	  0.015043											
  0.394150	  0.015111											
  0.380050	  0.015158											
  0.365900	  0.015216											
  0.351800	  0.015245											
  0.337650	  0.015278											
  0.323550	  0.015310											
  0.309450	  0.015339											
  0.295300	  0.015360											
  0.281200	  0.015377											
  0.267100	  0.015409											
  0.252950	  0.015452											
  0.238850	  0.015452											
  0.224700	  0.015455											
  0.210600	  0.015470											
  0.196500	  0.015500											
  0.182350	  0.015504											
  0.168250	  0.015500											
  0.154150	  0.015499											
  0.140000	  0.015516											
  0.125900	  0.015535											
  0.111800	  0.015525											
  0.097650	  0.015534											
  0.083550	  0.015547											
  0.069400	  0.015545											
  0.055300	  0.015557											
  0.041200	  0.015567											
  0.027050	  0.015570											
  0.012950	  0.015584											
 -0.001150	  0.015573											
 -0.015300	  0.015571											
 -0.029400	  0.015573											
 -0.043550	  0.015589											
 -0.057650	  0.015601											
 -0.071750	  0.015606											
 -0.085900	  0.015595											
 -0.100000	  0.015596											
