Sample Area  	Current Limit  	Bias Dir.        	Num Swp Pts	GPIB Addr      	Irrad. (suns)   	Max Rev. Bias	Ref. Temp      	Cell T (start)    	Cell T (end)   	Exposure (sec)	Date	Time
      0.5000	   1000.0000	      0.0000	     60.0000	     24.0000	      1.0000	      0.1000	     22.3460	     12.3734	     12.3734	      6.8500	2.7.2018	8.32.53 PM
   												
Voc (V)       	Isc (A)       	Jsc (mA/cm2)	Imax (A)      	Vmax (V)      	Pmax (mW)  	Fill Factor (%)	Efficiency (%)	R at Voc       	R at Isc       			
  0.712325	  0.015661	 31.321938	  0.014039	  0.580173	  8.145234	 73.014109	 16.290468	  4.426610	3460.458013			
   												
Vmeas       	Imeas       											
  0.726750	 -0.003649											
  0.712700	  0.000049											
  0.698700	  0.003213											
  0.684700	  0.005837											
  0.670700	  0.007979											
  0.656650	  0.009691											
  0.642650	  0.011057											
  0.628650	  0.012096											
  0.614650	  0.012880											
  0.600600	  0.013474											
  0.586600	  0.013904											
  0.572600	  0.014227											
  0.558600	  0.014463											
  0.544550	  0.014672											
  0.530550	  0.014833											
  0.516550	  0.014960											
  0.502550	  0.015063											
  0.488500	  0.015147											
  0.474500	  0.015219											
  0.460500	  0.015292											
  0.446500	  0.015342											
  0.432450	  0.015371											
  0.418450	  0.015406											
  0.404450	  0.015438											
  0.390450	  0.015468											
  0.376400	  0.015486											
  0.362400	  0.015498											
  0.348400	  0.015523											
  0.334400	  0.015550											
  0.320350	  0.015568											
  0.306350	  0.015571											
  0.292350	  0.015578											
  0.278350	  0.015590											
  0.264300	  0.015599											
  0.250300	  0.015594											
  0.236300	  0.015587											
  0.222300	  0.015590											
  0.208250	  0.015606											
  0.194250	  0.015622											
  0.180250	  0.015613											
  0.166250	  0.015616											
  0.152200	  0.015609											
  0.138200	  0.015617											
  0.124200	  0.015623											
  0.110200	  0.015631											
  0.096150	  0.015642											
  0.082150	  0.015644											
  0.068150	  0.015621											
  0.054150	  0.015627											
  0.040100	  0.015641											
  0.026100	  0.015657											
  0.012100	  0.015659											
 -0.001900	  0.015664											
 -0.015950	  0.015659											
 -0.029950	  0.015654											
 -0.043950	  0.015668											
 -0.057950	  0.015675											
 -0.072000	  0.015685											
 -0.086000	  0.015683											
 -0.100000	  0.015725											
