Sample Area  	Current Limit  	Bias Dir.        	Num Swp Pts	GPIB Addr      	Irrad. (suns)   	Max Rev. Bias	Ref. Temp      	Cell T (start)    	Cell T (end)   	Exposure (sec)	Date	Time
      0.5000	   1000.0000	      0.0000	     60.0000	     24.0000	      1.0000	      0.1000	     22.3460	     12.3734	     12.3734	      6.8490	2.7.2018	8.26.09 PM
   												
Voc (V)       	Isc (A)       	Jsc (mA/cm2)	Imax (A)      	Vmax (V)      	Pmax (mW)  	Fill Factor (%)	Efficiency (%)	R at Voc       	R at Isc       			
  0.709753	  0.013902	 27.804934	  0.012293	  0.581688	  7.150780	 72.469330	 14.301559	  4.730089	3799.293626			
   												
Vmeas       	Imeas       											
  0.723900	 -0.003410											
  0.709950	  0.000097											
  0.696000	  0.003050											
  0.682050	  0.005434											
  0.668050	  0.007338											
  0.654100	  0.008820											
  0.640150	  0.009945											
  0.626150	  0.010820											
  0.612200	  0.011445											
  0.598250	  0.011908											
  0.584250	  0.012250											
  0.570300	  0.012519											
  0.556350	  0.012734											
  0.542400	  0.012900											
  0.528400	  0.013035											
  0.514450	  0.013149											
  0.500500	  0.013267											
  0.486500	  0.013353											
  0.472550	  0.013422											
  0.458600	  0.013473											
  0.444600	  0.013521											
  0.430650	  0.013563											
  0.416700	  0.013604											
  0.402750	  0.013630											
  0.388750	  0.013681											
  0.374800	  0.013718											
  0.360850	  0.013725											
  0.346850	  0.013744											
  0.332900	  0.013756											
  0.318950	  0.013773											
  0.305000	  0.013782											
  0.291000	  0.013794											
  0.277050	  0.013804											
  0.263100	  0.013812											
  0.249100	  0.013827											
  0.235150	  0.013827											
  0.221200	  0.013834											
  0.207200	  0.013848											
  0.193250	  0.013856											
  0.179300	  0.013845											
  0.165350	  0.013865											
  0.151350	  0.013869											
  0.137400	  0.013871											
  0.123450	  0.013867											
  0.109450	  0.013866											
  0.095500	  0.013878											
  0.081550	  0.013887											
  0.067600	  0.013886											
  0.053600	  0.013890											
  0.039650	  0.013881											
  0.025700	  0.013891											
  0.011700	  0.013902											
 -0.002250	  0.013905											
 -0.016200	  0.013902											
 -0.030200	  0.013893											
 -0.044150	  0.013926											
 -0.058100	  0.013924											
 -0.072050	  0.013921											
 -0.086050	  0.013929											
 -0.100000	  0.013929											
