Sample Area  	Current Limit  	Bias Dir.        	Num Swp Pts	GPIB Addr      	Irrad. (suns)   	Max Rev. Bias	Ref. Temp      	Cell T (start)    	Cell T (end)   	Exposure (sec)	Date	Time
      0.5000	   1000.0000	      0.0000	     60.0000	     24.0000	      1.0000	      0.1000	     22.3460	     15.8163	     15.8163	      6.9010	2.7.2018	7.55.37 PM
   												
Voc (V)       	Isc (A)       	Jsc (mA/cm2)	Imax (A)      	Vmax (V)      	Pmax (mW)  	Fill Factor (%)	Efficiency (%)	R at Voc       	R at Isc       			
  0.700913	  0.015797	 31.593460	  0.014063	  0.558647	  7.856361	 70.956141	 15.712722	  4.689696	3914.785706			
   												
Vmeas       	Imeas       											
  0.714850	 -0.003317											
  0.701050	  0.000080											
  0.687250	  0.003040											
  0.673400	  0.005494											
  0.659600	  0.007528											
  0.645800	  0.009176											
  0.632000	  0.010502											
  0.618150	  0.011555											
  0.604350	  0.012396											
  0.590550	  0.013044											
  0.576750	  0.013564											
  0.562950	  0.013961											
  0.549100	  0.014287											
  0.535300	  0.014561											
  0.521500	  0.014761											
  0.507700	  0.014918											
  0.493850	  0.015067											
  0.480050	  0.015149											
  0.466250	  0.015263											
  0.452450	  0.015368											
  0.438650	  0.015439											
  0.424800	  0.015502											
  0.411000	  0.015521											
  0.397200	  0.015540											
  0.383400	  0.015588											
  0.369550	  0.015618											
  0.355750	  0.015622											
  0.341950	  0.015653											
  0.328150	  0.015667											
  0.314350	  0.015662											
  0.300500	  0.015672											
  0.286700	  0.015692											
  0.272900	  0.015700											
  0.259100	  0.015706											
  0.245300	  0.015710											
  0.231450	  0.015712											
  0.217650	  0.015714											
  0.203850	  0.015718											
  0.190050	  0.015718											
  0.176200	  0.015751											
  0.162400	  0.015775											
  0.148600	  0.015768											
  0.134800	  0.015779											
  0.121000	  0.015782											
  0.107150	  0.015788											
  0.093350	  0.015779											
  0.079550	  0.015769											
  0.065750	  0.015774											
  0.051900	  0.015776											
  0.038100	  0.015786											
  0.024300	  0.015810											
  0.010500	  0.015804											
 -0.003300	  0.015794											
 -0.017150	  0.015791											
 -0.030950	  0.015801											
 -0.044750	  0.015798											
 -0.058550	  0.015802											
 -0.072400	  0.015806											
 -0.086200	  0.015821											
 -0.100000	  0.015830											
