Sample Area  	Current Limit  	Bias Dir.        	Num Swp Pts	GPIB Addr      	Irrad. (suns)   	Max Rev. Bias	Ref. Temp      	Cell T (start)    	Cell T (end)   	Exposure (sec)	Date	Time
      0.5000	   1000.0000	      0.0000	     60.0000	     24.0000	      1.0000	      0.1000	     22.3460	     12.3734	     12.3734	      6.9000	2.7.2018	8.30.05 PM
   												
Voc (V)       	Isc (A)       	Jsc (mA/cm2)	Imax (A)      	Vmax (V)      	Pmax (mW)  	Fill Factor (%)	Efficiency (%)	R at Voc       	R at Isc       			
  0.701017	  0.014497	 28.993513	  0.012848	  0.570652	  7.331880	 72.146597	 14.663759	  4.634256	3331.314953			
   												
Vmeas       	Imeas       											
  0.715100	 -0.003443											
  0.701250	  0.000089											
  0.687450	  0.003065											
  0.673650	  0.005492											
  0.659850	  0.007458											
  0.646000	  0.009008											
  0.632200	  0.010195											
  0.618400	  0.011123											
  0.604550	  0.011813											
  0.590750	  0.012314											
  0.576950	  0.012711											
  0.563100	  0.013019											
  0.549300	  0.013259											
  0.535500	  0.013443											
  0.521700	  0.013584											
  0.507850	  0.013711											
  0.494050	  0.013824											
  0.480250	  0.013917											
  0.466400	  0.014005											
  0.452600	  0.014051											
  0.438800	  0.014102											
  0.424950	  0.014152											
  0.411150	  0.014189											
  0.397350	  0.014220											
  0.383550	  0.014253											
  0.369700	  0.014283											
  0.355900	  0.014295											
  0.342100	  0.014318											
  0.328250	  0.014339											
  0.314450	  0.014352											
  0.300650	  0.014368											
  0.286800	  0.014365											
  0.273000	  0.014363											
  0.259200	  0.014382											
  0.245400	  0.014404											
  0.231550	  0.014419											
  0.217750	  0.014416											
  0.203950	  0.014421											
  0.190100	  0.014406											
  0.176300	  0.014432											
  0.162500	  0.014457											
  0.148650	  0.014456											
  0.134850	  0.014455											
  0.121050	  0.014463											
  0.107250	  0.014471											
  0.093400	  0.014477											
  0.079600	  0.014478											
  0.065800	  0.014485											
  0.051950	  0.014500											
  0.038150	  0.014498											
  0.024350	  0.014507											
  0.010500	  0.014512											
 -0.003300	  0.014506											
 -0.017100	  0.014500											
 -0.030900	  0.014507											
 -0.044750	  0.014508											
 -0.058550	  0.014500											
 -0.072350	  0.014509											
 -0.086200	  0.014507											
 -0.100000	  0.014510											
