Sample Area  	Current Limit  	Bias Dir.        	Num Swp Pts	GPIB Addr      	Irrad. (suns)   	Max Rev. Bias	Ref. Temp      	Cell T (start)    	Cell T (end)   	Exposure (sec)	Date	Time
      0.5000	   1000.0000	      0.0000	     60.0000	     24.0000	      1.0000	      0.1000	     22.3460	     15.8163	     15.8163	      7.1010	2.7.2018	7.51.56 PM
   												
Voc (V)       	Isc (A)       	Jsc (mA/cm2)	Imax (A)      	Vmax (V)      	Pmax (mW)  	Fill Factor (%)	Efficiency (%)	R at Voc       	R at Isc       			
  0.717567	  0.014934	 29.867263	  0.013391	  0.578796	  7.750377	 72.326062	 15.500754	  4.733251	10451.980331			
   												
Vmeas       	Imeas       											
  0.732150	 -0.003476											
  0.718050	  0.000030											
  0.703950	  0.003008											
  0.689850	  0.005462											
  0.675750	  0.007457											
  0.661650	  0.009058											
  0.647550	  0.010319											
  0.633450	  0.011307											
  0.619350	  0.012057											
  0.605250	  0.012643											
  0.591100	  0.013105											
  0.577000	  0.013442											
  0.562900	  0.013719											
  0.548800	  0.013936											
  0.534700	  0.014107											
  0.520600	  0.014256											
  0.506500	  0.014366											
  0.492400	  0.014451											
  0.478300	  0.014526											
  0.464200	  0.014582											
  0.450100	  0.014654											
  0.435950	  0.014703											
  0.421850	  0.014738											
  0.407750	  0.014770											
  0.393650	  0.014798											
  0.379550	  0.014811											
  0.365450	  0.014829											
  0.351350	  0.014840											
  0.337250	  0.014844											
  0.323150	  0.014866											
  0.309050	  0.014859											
  0.294950	  0.014873											
  0.280800	  0.014886											
  0.266700	  0.014908											
  0.252600	  0.014902											
  0.238500	  0.014898											
  0.224400	  0.014900											
  0.210300	  0.014908											
  0.196200	  0.014907											
  0.182100	  0.014919											
  0.168000	  0.014926											
  0.153900	  0.014935											
  0.139800	  0.014916											
  0.125650	  0.014915											
  0.111550	  0.014922											
  0.097450	  0.014917											
  0.083350	  0.014921											
  0.069250	  0.014924											
  0.055150	  0.014933											
  0.041050	  0.014932											
  0.026950	  0.014927											
  0.012850	  0.014932											
 -0.001250	  0.014946											
 -0.015350	  0.014942											
 -0.029500	  0.014941											
 -0.043600	  0.014938											
 -0.057700	  0.014939											
 -0.071800	  0.014937											
 -0.085900	  0.014933											
 -0.100000	  0.014943											
