Sample Area  	Current Limit  	Bias Dir.        	Num Swp Pts	GPIB Addr      	Irrad. (suns)   	Max Rev. Bias	Ref. Temp      	Cell T (start)    	Cell T (end)   	Exposure (sec)	Date	Time
      0.5000	   1000.0000	      0.0000	     60.0000	     24.0000	      1.0000	      0.1000	     22.3460	     12.3734	     12.3734	      6.8500	2.7.2018	8.34.47 PM
   												
Voc (V)       	Isc (A)       	Jsc (mA/cm2)	Imax (A)      	Vmax (V)      	Pmax (mW)  	Fill Factor (%)	Efficiency (%)	R at Voc       	R at Isc       			
  0.698581	  0.015305	 30.610157	  0.013485	  0.536322	  7.232261	 67.642812	 14.464522	  6.755222	15022.898768			
   												
Vmeas       	Imeas       											
  0.712300	 -0.002047											
  0.698550	  0.000068											
  0.684800	  0.002064											
  0.671000	  0.003897											
  0.657250	  0.005572											
  0.643500	  0.007098											
  0.629700	  0.008459											
  0.615950	  0.009631											
  0.602150	  0.010632											
  0.588400	  0.011487											
  0.574650	  0.012187											
  0.560850	  0.012745											
  0.547100	  0.013196											
  0.533350	  0.013558											
  0.519550	  0.013852											
  0.505800	  0.014083											
  0.492050	  0.014272											
  0.478250	  0.014431											
  0.464500	  0.014548											
  0.450750	  0.014652											
  0.436950	  0.014733											
  0.423200	  0.014814											
  0.409400	  0.014882											
  0.395650	  0.014969											
  0.381900	  0.015016											
  0.368100	  0.015042											
  0.354350	  0.015081											
  0.340600	  0.015115											
  0.326800	  0.015131											
  0.313050	  0.015146											
  0.299300	  0.015147											
  0.285500	  0.015160											
  0.271750	  0.015179											
  0.257950	  0.015212											
  0.244200	  0.015241											
  0.230450	  0.015271											
  0.216650	  0.015283											
  0.202900	  0.015272											
  0.189150	  0.015278											
  0.175350	  0.015288											
  0.161600	  0.015304											
  0.147850	  0.015293											
  0.134050	  0.015299											
  0.120300	  0.015305											
  0.106500	  0.015309											
  0.092750	  0.015308											
  0.079000	  0.015310											
  0.065200	  0.015315											
  0.051450	  0.015318											
  0.037700	  0.015306											
  0.023900	  0.015301											
  0.010150	  0.015298											
 -0.003600	  0.015299											
 -0.017400	  0.015296											
 -0.031150	  0.015292											
 -0.044950	  0.015302											
 -0.058700	  0.015302											
 -0.072450	  0.015308											
 -0.086250	  0.015319											
 -0.100000	  0.015315											
