Sample Area  	Current Limit  	Bias Dir.        	Num Swp Pts	GPIB Addr      	Irrad. (suns)   	Max Rev. Bias	Ref. Temp      	Cell T (start)    	Cell T (end)   	Exposure (sec)	Date	Time
      0.5000	   1000.0000	      0.0000	     60.0000	     24.0000	      1.0000	      0.1000	     22.3460	     12.3734	     12.3734	      6.8500	2.7.2018	8.20.59 PM
   												
Voc (V)       	Isc (A)       	Jsc (mA/cm2)	Imax (A)      	Vmax (V)      	Pmax (mW)  	Fill Factor (%)	Efficiency (%)	R at Voc       	R at Isc       			
  0.711556	  0.015675	 31.349876	  0.013866	  0.573428	  7.951231	 71.288488	 15.902463	  4.630141	3844.252794			
   												
Vmeas       	Imeas       											
  0.725800	 -0.003449											
  0.711800	  0.000073											
  0.697800	  0.003092											
  0.683800	  0.005626											
  0.669800	  0.007704											
  0.655800	  0.009368											
  0.641800	  0.010685											
  0.627800	  0.011703											
  0.613800	  0.012489											
  0.599800	  0.013096											
  0.585800	  0.013556											
  0.571800	  0.013909											
  0.557850	  0.014210											
  0.543850	  0.014438											
  0.529850	  0.014612											
  0.515850	  0.014770											
  0.501850	  0.014897											
  0.487850	  0.014999											
  0.473850	  0.015072											
  0.459850	  0.015152											
  0.445850	  0.015224											
  0.431850	  0.015273											
  0.417850	  0.015355											
  0.403850	  0.015408											
  0.389850	  0.015453											
  0.375850	  0.015478											
  0.361900	  0.015498											
  0.347900	  0.015522											
  0.333900	  0.015557											
  0.319900	  0.015572											
  0.305900	  0.015584											
  0.291900	  0.015595											
  0.277900	  0.015600											
  0.263900	  0.015595											
  0.249900	  0.015622											
  0.235900	  0.015613											
  0.221900	  0.015625											
  0.207900	  0.015616											
  0.193900	  0.015617											
  0.179950	  0.015630											
  0.165950	  0.015649											
  0.151950	  0.015635											
  0.137950	  0.015639											
  0.123950	  0.015637											
  0.109950	  0.015643											
  0.095950	  0.015641											
  0.081950	  0.015658											
  0.067950	  0.015650											
  0.053950	  0.015663											
  0.039950	  0.015668											
  0.025950	  0.015692											
  0.011950	  0.015689											
 -0.002050	  0.015671											
 -0.016000	  0.015673											
 -0.030000	  0.015668											
 -0.044000	  0.015673											
 -0.058000	  0.015684											
 -0.072000	  0.015686											
 -0.086000	  0.015698											
 -0.100000	  0.015719											
