Sample Area  	Current Limit  	Bias Dir.        	Num Swp Pts	GPIB Addr      	Irrad. (suns)   	Max Rev. Bias	Ref. Temp      	Cell T (start)    	Cell T (end)   	Exposure (sec)	Date	Time
      0.5000	   1000.0000	      0.0000	     60.0000	     24.0000	      1.0000	      0.1000	     22.3460	     12.3734	     12.3734	      6.8490	2.7.2018	8.36.02 PM
   												
Voc (V)       	Isc (A)       	Jsc (mA/cm2)	Imax (A)      	Vmax (V)      	Pmax (mW)  	Fill Factor (%)	Efficiency (%)	R at Voc       	R at Isc       			
  0.707346	  0.015502	 31.003431	  0.013707	  0.574852	  7.879588	 71.860802	 15.759176	  4.415733	4203.243285			
   												
Vmeas       	Imeas       											
  0.721650	 -0.003639											
  0.707700	  0.000055											
  0.693800	  0.003208											
  0.679850	  0.005799											
  0.665950	  0.007876											
  0.652000	  0.009526											
  0.638100	  0.010832											
  0.624150	  0.011820											
  0.610250	  0.012549											
  0.596300	  0.013108											
  0.582400	  0.013532											
  0.568450	  0.013867											
  0.554550	  0.014120											
  0.540600	  0.014326											
  0.526700	  0.014486											
  0.512750	  0.014608											
  0.498850	  0.014716											
  0.484900	  0.014812											
  0.471000	  0.014902											
  0.457050	  0.014979											
  0.443100	  0.015040											
  0.429200	  0.015085											
  0.415250	  0.015130											
  0.401350	  0.015170											
  0.387400	  0.015195											
  0.373500	  0.015231											
  0.359550	  0.015248											
  0.345650	  0.015264											
  0.331700	  0.015294											
  0.317800	  0.015329											
  0.303850	  0.015340											
  0.289950	  0.015349											
  0.276000	  0.015360											
  0.262100	  0.015379											
  0.248150	  0.015374											
  0.234250	  0.015369											
  0.220300	  0.015416											
  0.206400	  0.015444											
  0.192450	  0.015441											
  0.178550	  0.015456											
  0.164600	  0.015460											
  0.150650	  0.015469											
  0.136750	  0.015482											
  0.122800	  0.015472											
  0.108900	  0.015479											
  0.094950	  0.015483											
  0.081050	  0.015495											
  0.067100	  0.015499											
  0.053200	  0.015502											
  0.039250	  0.015496											
  0.025350	  0.015494											
  0.011400	  0.015484											
 -0.002500	  0.015477											
 -0.016450	  0.015498											
 -0.030350	  0.015516											
 -0.044300	  0.015527											
 -0.058200	  0.015524											
 -0.072150	  0.015516											
 -0.086050	  0.015516											
 -0.100000	  0.015518											
