Sample Area  	Current Limit  	Bias Dir.        	Num Swp Pts	GPIB Addr      	Irrad. (suns)   	Max Rev. Bias	Ref. Temp      	Cell T (start)    	Cell T (end)   	Exposure (sec)	Date	Time
      0.5000	   1000.0000	      0.0000	     60.0000	     24.0000	      1.0000	      0.1000	     22.3460	     12.3734	     12.3734	      6.9000	2.7.2018	8.35.22 PM
   												
Voc (V)       	Isc (A)       	Jsc (mA/cm2)	Imax (A)      	Vmax (V)      	Pmax (mW)  	Fill Factor (%)	Efficiency (%)	R at Voc       	R at Isc       			
  0.704236	  0.015168	 30.336462	  0.013492	  0.573756	  7.741391	 72.471276	 15.482782	  4.493175	3076.838466			
   												
Vmeas       	Imeas       											
  0.718350	 -0.003545											
  0.704500	  0.000070											
  0.690600	  0.003171											
  0.676750	  0.005728											
  0.662900	  0.007792											
  0.649000	  0.009432											
  0.635150	  0.010715											
  0.621250	  0.011676											
  0.607400	  0.012405											
  0.593550	  0.012956											
  0.579650	  0.013369											
  0.565800	  0.013674											
  0.551900	  0.013924											
  0.538050	  0.014102											
  0.524150	  0.014255											
  0.510300	  0.014382											
  0.496450	  0.014486											
  0.482550	  0.014576											
  0.468700	  0.014639											
  0.454800	  0.014706											
  0.440950	  0.014765											
  0.427100	  0.014808											
  0.413200	  0.014840											
  0.399350	  0.014879											
  0.385450	  0.014907											
  0.371600	  0.014929											
  0.357750	  0.014932											
  0.343850	  0.014958											
  0.330000	  0.014986											
  0.316100	  0.014992											
  0.302250	  0.015013											
  0.288350	  0.015036											
  0.274500	  0.015058											
  0.260650	  0.015057											
  0.246750	  0.015067											
  0.232900	  0.015080											
  0.219000	  0.015090											
  0.205150	  0.015077											
  0.191300	  0.015087											
  0.177400	  0.015103											
  0.163550	  0.015101											
  0.149650	  0.015111											
  0.135800	  0.015138											
  0.121950	  0.015151											
  0.108050	  0.015154											
  0.094200	  0.015148											
  0.080300	  0.015140											
  0.066450	  0.015150											
  0.052600	  0.015153											
  0.038700	  0.015162											
  0.024850	  0.015171											
  0.010950	  0.015183											
 -0.002900	  0.015182											
 -0.016800	  0.015186											
 -0.030650	  0.015188											
 -0.044500	  0.015178											
 -0.058400	  0.015184											
 -0.072250	  0.015179											
 -0.086150	  0.015173											
 -0.100000	  0.015178											
