Sample Area  	Current Limit  	Bias Dir.        	Num Swp Pts	GPIB Addr      	Irrad. (suns)   	Max Rev. Bias	Ref. Temp      	Cell T (start)    	Cell T (end)   	Exposure (sec)	Date	Time
      0.5000	   1000.0000	      0.0000	     60.0000	     24.0000	      1.0000	      0.1000	     22.3460	     12.3734	     12.3734	      6.8990	2.7.2018	8.11.07 PM
   												
Voc (V)       	Isc (A)       	Jsc (mA/cm2)	Imax (A)      	Vmax (V)      	Pmax (mW)  	Fill Factor (%)	Efficiency (%)	R at Voc       	R at Isc       			
  0.709355	  0.015939	 31.877297	  0.014241	  0.563468	  8.024549	 70.974992	 16.049097	  4.676134	4474.877870			
   												
Vmeas       	Imeas       											
  0.724050	 -0.003527											
  0.710100	 -0.000026											
  0.696150	  0.002941											
  0.682150	  0.005440											
  0.668200	  0.007512											
  0.654250	  0.009171											
  0.640250	  0.010498											
  0.626300	  0.011587											
  0.612350	  0.012442											
  0.598350	  0.013110											
  0.584400	  0.013645											
  0.570450	  0.014072											
  0.556450	  0.014410											
  0.542500	  0.014702											
  0.528550	  0.014930											
  0.514550	  0.015099											
  0.500600	  0.015246											
  0.486650	  0.015351											
  0.472650	  0.015439											
  0.458700	  0.015508											
  0.444700	  0.015576											
  0.430750	  0.015629											
  0.416800	  0.015675											
  0.402800	  0.015706											
  0.388850	  0.015728											
  0.374900	  0.015760											
  0.360900	  0.015787											
  0.346950	  0.015808											
  0.333000	  0.015805											
  0.319000	  0.015805											
  0.305050	  0.015842											
  0.291100	  0.015851											
  0.277100	  0.015851											
  0.263150	  0.015857											
  0.249200	  0.015860											
  0.235200	  0.015856											
  0.221250	  0.015865											
  0.207300	  0.015880											
  0.193300	  0.015875											
  0.179350	  0.015905											
  0.165400	  0.015905											
  0.151400	  0.015890											
  0.137450	  0.015888											
  0.123500	  0.015889											
  0.109500	  0.015906											
  0.095550	  0.015934											
  0.081600	  0.015968											
  0.067600	  0.015950											
  0.053650	  0.015944											
  0.039650	  0.015950											
  0.025700	  0.015937											
  0.011750	  0.015944											
 -0.002250	  0.015939											
 -0.016200	  0.015938											
 -0.030150	  0.015950											
 -0.044150	  0.015943											
 -0.058100	  0.015946											
 -0.072050	  0.015945											
 -0.086050	  0.015947											
 -0.100000	  0.015939											
