Sample Area  	Current Limit  	Bias Dir.        	Num Swp Pts	GPIB Addr      	Irrad. (suns)   	Max Rev. Bias	Ref. Temp      	Cell T (start)    	Cell T (end)   	Exposure (sec)	Date	Time
      0.5000	   1000.0000	      0.0000	     60.0000	     24.0000	      1.0000	      0.1000	     22.3460	     12.3734	     12.3734	      6.9010	2.7.2018	8.38.17 PM
   												
Voc (V)       	Isc (A)       	Jsc (mA/cm2)	Imax (A)      	Vmax (V)      	Pmax (mW)  	Fill Factor (%)	Efficiency (%)	R at Voc       	R at Isc       			
  0.701644	  0.016006	 32.011799	  0.014255	  0.567148	  8.084838	 71.990354	 16.169676	  4.430912	4003.754481			
   												
Vmeas       	Imeas       											
  0.715750	 -0.003545											
  0.701900	  0.000065											
  0.688100	  0.003184											
  0.674250	  0.005794											
  0.660450	  0.007937											
  0.646600	  0.009649											
  0.632800	  0.011037											
  0.618950	  0.012094											
  0.605150	  0.012905											
  0.591300	  0.013516											
  0.577500	  0.013990											
  0.563650	  0.014362											
  0.549850	  0.014639											
  0.536000	  0.014851											
  0.522200	  0.015035											
  0.508350	  0.015181											
  0.494550	  0.015302											
  0.480700	  0.015400											
  0.466900	  0.015489											
  0.453050	  0.015552											
  0.439200	  0.015603											
  0.425400	  0.015665											
  0.411550	  0.015699											
  0.397750	  0.015730											
  0.383900	  0.015761											
  0.370100	  0.015800											
  0.356250	  0.015825											
  0.342450	  0.015835											
  0.328600	  0.015848											
  0.314800	  0.015864											
  0.300950	  0.015867											
  0.287150	  0.015883											
  0.273300	  0.015899											
  0.259500	  0.015912											
  0.245650	  0.015926											
  0.231850	  0.015933											
  0.218000	  0.015916											
  0.204200	  0.015924											
  0.190350	  0.015936											
  0.176550	  0.015947											
  0.162700	  0.015960											
  0.148850	  0.015962											
  0.135050	  0.015963											
  0.121200	  0.015972											
  0.107400	  0.015993											
  0.093550	  0.016013											
  0.079750	  0.016018											
  0.065900	  0.016014											
  0.052100	  0.016013											
  0.038250	  0.016010											
  0.024450	  0.016007											
  0.010600	  0.016016											
 -0.003200	  0.016017											
 -0.017050	  0.016010											
 -0.030850	  0.016015											
 -0.044700	  0.016007											
 -0.058500	  0.016014											
 -0.072350	  0.016021											
 -0.086150	  0.016014											
 -0.100000	  0.015990											
