Sample Area  	Current Limit  	Bias Dir.        	Num Swp Pts	GPIB Addr      	Irrad. (suns)   	Max Rev. Bias	Ref. Temp      	Cell T (start)    	Cell T (end)   	Exposure (sec)	Date	Time
      0.5000	   1000.0000	      0.0000	     60.0000	     24.0000	      1.0000	      0.1000	     22.3460	     12.3734	     12.3734	      6.9010	2.7.2018	8.00.23 PM
   												
Voc (V)       	Isc (A)       	Jsc (mA/cm2)	Imax (A)      	Vmax (V)      	Pmax (mW)  	Fill Factor (%)	Efficiency (%)	R at Voc       	R at Isc       			
  0.712513	  0.016429	 32.857183	  0.014760	  0.574604	  8.480867	 72.451467	 16.961735	  4.307810	7016.682394			
   												
Vmeas       	Imeas       											
  0.726950	 -0.003759											
  0.712900	  0.000051											
  0.698900	  0.003297											
  0.684900	  0.005995											
  0.670900	  0.008185											
  0.656850	  0.009945											
  0.642850	  0.011372											
  0.628850	  0.012462											
  0.614800	  0.013303											
  0.600800	  0.013932											
  0.586800	  0.014429											
  0.572750	  0.014823											
  0.558750	  0.015124											
  0.544750	  0.015374											
  0.530700	  0.015551											
  0.516700	  0.015692											
  0.502700	  0.015822											
  0.488650	  0.015924											
  0.474650	  0.016005											
  0.460650	  0.016069											
  0.446600	  0.016112											
  0.432600	  0.016168											
  0.418600	  0.016213											
  0.404550	  0.016235											
  0.390550	  0.016254											
  0.376550	  0.016279											
  0.362550	  0.016294											
  0.348500	  0.016306											
  0.334500	  0.016329											
  0.320500	  0.016340											
  0.306450	  0.016345											
  0.292450	  0.016356											
  0.278450	  0.016356											
  0.264400	  0.016388											
  0.250400	  0.016414											
  0.236400	  0.016410											
  0.222350	  0.016395											
  0.208350	  0.016390											
  0.194350	  0.016391											
  0.180300	  0.016395											
  0.166300	  0.016407											
  0.152300	  0.016411											
  0.138250	  0.016410											
  0.124250	  0.016412											
  0.110250	  0.016409											
  0.096200	  0.016416											
  0.082200	  0.016431											
  0.068200	  0.016429											
  0.054200	  0.016419											
  0.040150	  0.016424											
  0.026150	  0.016440											
  0.012150	  0.016436											
 -0.001900	  0.016427											
 -0.015900	  0.016433											
 -0.029900	  0.016437											
 -0.043950	  0.016429											
 -0.057950	  0.016424											
 -0.071950	  0.016442											
 -0.086000	  0.016443											
 -0.100000	  0.016427											
