Sample Area  	Current Limit  	Bias Dir.        	Num Swp Pts	GPIB Addr      	Irrad. (suns)   	Max Rev. Bias	Ref. Temp      	Cell T (start)    	Cell T (end)   	Exposure (sec)	Date	Time
      0.5000	   1000.0000	      0.0000	     60.0000	     24.0000	      1.0000	      0.1000	     22.3460	     15.8163	     15.8163	      6.8510	2.7.2018	7.52.43 PM
   												
Voc (V)       	Isc (A)       	Jsc (mA/cm2)	Imax (A)      	Vmax (V)      	Pmax (mW)  	Fill Factor (%)	Efficiency (%)	R at Voc       	R at Isc       			
  0.710735	  0.014817	 29.633950	  0.013280	  0.574077	  7.623843	 72.394641	 15.247686	  4.727574	3863.349154			
   												
Vmeas       	Imeas       											
  0.725000	 -0.003396											
  0.711000	  0.000077											
  0.697050	  0.003019											
  0.683050	  0.005465											
  0.669050	  0.007443											
  0.655100	  0.009024											
  0.641100	  0.010279											
  0.627100	  0.011252											
  0.613150	  0.011996											
  0.599150	  0.012577											
  0.585150	  0.013012											
  0.571200	  0.013369											
  0.557200	  0.013626											
  0.543200	  0.013829											
  0.529250	  0.013991											
  0.515250	  0.014127											
  0.501250	  0.014244											
  0.487300	  0.014323											
  0.473300	  0.014392											
  0.459300	  0.014446											
  0.445350	  0.014508											
  0.431350	  0.014556											
  0.417350	  0.014592											
  0.403400	  0.014615											
  0.389400	  0.014623											
  0.375400	  0.014652											
  0.361450	  0.014684											
  0.347450	  0.014702											
  0.333450	  0.014708											
  0.319500	  0.014719											
  0.305500	  0.014730											
  0.291550	  0.014743											
  0.277550	  0.014748											
  0.263550	  0.014744											
  0.249600	  0.014759											
  0.235600	  0.014779											
  0.221600	  0.014777											
  0.207650	  0.014758											
  0.193650	  0.014765											
  0.179650	  0.014778											
  0.165700	  0.014770											
  0.151700	  0.014771											
  0.137700	  0.014780											
  0.123750	  0.014784											
  0.109750	  0.014789											
  0.095750	  0.014795											
  0.081800	  0.014795											
  0.067800	  0.014821											
  0.053800	  0.014802											
  0.039850	  0.014813											
  0.025850	  0.014811											
  0.011850	  0.014807											
 -0.002100	  0.014821											
 -0.016100	  0.014819											
 -0.030100	  0.014822											
 -0.044050	  0.014821											
 -0.058050	  0.014825											
 -0.072050	  0.014825											
 -0.086000	  0.014837											
 -0.100000	  0.014859											
